Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
713,Justin Devenny,nir,MF,Crystal Palace,Premier League,21,2003,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
714,Alfie Devine,eng,MF,Tottenham,Premier League,20,2004,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
715,Kiernan Dewsbury-Hall,eng,MF,Chelsea,Premier League,26,1998,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
716,Gianluca Di Chiara,it,DF,Parma,it Serie A,30,1993,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
717,Raffaele Di Gennaro,it,GK,Inter,it Serie A,31,1993,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
718,Michele Di Gregorio,it,GK,Juventus,it Serie A,27,1997,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
719,Giovanni Di Lorenzo,it,DF,Napoli,it Serie A,31,1993,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
720,Alessandro Di Pardo,it,DF,Cagliari,it Serie A,25,1999,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
721,Boulaye Dia,sn,MF,Lazio,it Serie A,28,1996,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
722,Mamadou Diakhon,fr,FW,Reims,Ligue 1,19,2005,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
723,Bafodé Diakité,fr,DF,Lille,Ligue 1,23,2001,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
724,Oumar Diakité,ci,FW,Reims,Ligue 1,20,2003,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
725,Amad Diallo,ci,FW,Manchester Utd,Premier League,22,2002,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
726,Tidiane Diallo,fr,FW,Strasbourg,Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
727,Assane Diao,es,FW,Betis,La Liga,19,2005,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
728,Habib Diarra,sn,MF,Strasbourg,Ligue 1,20,2004,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
729,Moussa Diarra,ml,DF,Alavés,La Liga,24,2000,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
