Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
150,Yasin Ayari,se,MF,,Brighton,Premier League,21,2003,8.9,29,3.27,11,9,3,2,3,1,1,0.11,11,9,3,2,3,1,Matches
151,Florian Ayé,fr,FW,,Auxerre,Ligue 1,27,1997,3.5,1,0.29,1,0,0,0,0,0,1,0.29,1,0,0,0,0,0,Matches
152,André Ayew,gh,FW,,Le Havre,Ligue 1,35,1989,5.6,5,0.89,4,0,0,0,1,0,0,0.00,4,0,0,0,1,0,Matches
153,Jordan Ayew,gh,FW,MF,Crystal Palace,Premier League,33,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
154,Jordan Ayew,gh,FW,MF,Leicester City,Premier League,33,1991,7.3,9,1.23,7,1,0,1,0,0,1,0.14,7,1,0,1,0,0,Matches
155,Neil El Aynaoui,fr,MF,,Lens,Ligue 1,23,2001,3.2,6,1.89,5,0,0,0,0,1,0,0.00,5,0,0,0,0,1,Matches
156,Ayman Azhil,ma,MF,,Dortmund,Bundesliga,23,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
157,Adam Aznou,ma,DF,,Bayern Munich,Bundesliga,18,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
158,César Azpilicueta,es,DF,,Atlético Madrid,La Liga,35,1989,5.3,3,0.56,2,1,0,0,0,0,0,0.00,2,1,0,0,0,0,Matches
159,Paulo Azzi,br,DF,,Cagliari,Serie A,30,1994,4.7,15,3.17,9,2,1,2,0,1,0,0.00,9,2,1,2,0,1,Matches
160,Papa Ba,es,MF,,Girona,La Liga,20,2004,0.5,2,3.75,1,0,1,0,0,0,0,0.00,1,0,1,0,0,0,Matches
161,Shavy Babicka,ga,MF,FW,Toulouse,Ligue 1,24,2000,5.6,16,2.86,11,0,2,0,1,2,1,0.18,11,0,2,0,1,2,Matches
162,Aliou Badara Baldé,gn,MF,FW,Bochum,Bundesliga,22,2002,1.0,3,2.93,2,0,1,0,0,0,0,0.00,2,0,1,0,0,0,Matches
163,Loïc Bade,fr,DF,,Sevilla,La Liga,24,2000,12.2,8,0.65,7,0,0,1,0,0,1,0.08,7,0,0,1,0,0,Matches
164,Milan Badelj,hr,MF,,Genoa,Serie A,35,1989,11.0,20,1.83,16,0,0,3,1,0,1,0.09,16,0,0,3,1,0,Matches
165,Benoît Badiashile,fr,DF,,Chelsea,Premier League,23,2001,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
166,Alex Baena,es,MF,FW,Villarreal,La Liga,23,2001,13.2,83,6.27,53,22,1,5,2,0,7,0.53,53,22,1,5,2,0,Matches
167,Leon Bailey,jm,FW,MF,Aston Villa,Premier League,27,1997,8.1,19,2.34,13,1,2,1,2,0,3,0.37,13,1,2,1,2,0,Matches
168,Eric Bailly,ci,DF,,Villarreal,La Liga,30,1994,6.4,2,0.31,1,0,0,1,0,0,0,0.00,1,0,0,1,0,0,Matches
169,Theo Bair,ca,FW,,Auxerre,Ligue 1,25,1999,4.6,11,2.39,11,0,0,0,0,0,0,0.00,11,0,0,0,0,0,Matches
170,Cédric Bakambu,cd,FW,,Betis,La Liga,33,1991,3.0,4,1.32,3,0,0,1,0,0,0,0.00,3,0,0,1,0,0,Matches
171,Mitchel Bakker,nl,MF,,Atalanta,Serie A,24,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
172,Mitchel Bakker,nl,DF,FW,Lille,Ligue 1,24,2000,4.3,9,2.00,7,0,1,1,0,0,0,0.00,7,0,1,1,0,0,Matches
173,Ridle Baku,de,FW,MF,Wolfsburg,Bundesliga,26,1998,12.0,28,2.33,20,1,1,3,1,2,4,0.33,20,1,1,3,1,2,Matches
174,Dilane Bakwa,fr,FW,MF,Strasbourg,Ligue 1,22,2002,14.5,57,3.93,35,13,5,1,2,1,7,0.48,35,13,5,1,2,1,Matches
175,Tommaso Baldanzi,it,MF,FW,Roma,Serie A,21,2003,4.3,16,3.68,10,0,2,2,1,1,3,0.69,10,0,2,2,1,1,Matches
176,Alejandro Balde,es,DF,,Barcelona,La Liga,21,2003,13.3,38,2.85,26,3,1,1,7,0,6,0.45,26,3,1,1,7,0,Matches
177,Carlos Baleba,cm,MF,,Brighton,Premier League,20,2004,10.0,24,2.41,21,0,1,1,0,1,2,0.20,21,0,1,1,0,1,Matches
178,Leonardo Balerdi,ar,DF,,Marseille,Ligue 1,25,1999,11.0,18,1.63,16,0,2,0,0,0,2,0.18,16,0,2,0,0,0,Matches
